91,1990,19,5995,52409,1620,55,0,1,1
35,1990,7,8695,17122,2220,100,0,2,2
61,1990,16,8845,65590,2615,93,0,1,1
52,1990,10,10819,49877,2524,92,0,1,1
26,1990,4,13800,35944,2182,116,0,2,3
54,1990,11,16995,4640,2732,128,1,2,2
75,1990,18,6319,52520,1785,63,0,1,1
96,1990,19,9995,1.0303e+05,2518,110,0,2,2
113,1990,19,15895,1.0114e+05,3248,165,1,2,3
63,1990,16,9745,34253,2798,100,0,1,1
66,1990,16,10855,40177,2524,92,0,1,1
98,1990,19,10425,1.0963e+05,2347,102,0,2,2
38,1990,7,15485,7615,2307,94,0,2,2
25,1990,4,12459,64242,2610,110,0,2,2
7,1990,1,21498,12863,3417,190,1,2,3
60,1990,16,8785,33384,2610,93,0,1,1
56,1990,12,41900,2348,2998,208,1,3,4
50,1990,10,5909,4665,2336,76,0,1,1
86,1990,18,17257,1.1802e+05,3821,150,1,1,2
58,1990,13,12005,3327,2411,130,0,2,3
49,1990,9,73800,4772,4100,238,1,3,3
23,1990,4,6599,22977,2238,82,0,1,1
3,1990,1,11588,2.846e+05,2690,115,0,2,2
21,1990,3,13495,37814,2566,105,0,2,2
53,1990,10,10989,40991,2667,102,0,1,2
44,1990,8,41500,22524,3530,208,1,3,3
108,1990,19,14495,1.1152e+05,3133,180,1,3,3
112,1990,19,15774,68686,3309,165,1,2,2
114,1990,19,16145,1.5092e+05,3234,165,1,2,3
47,1990,9,39710,24400,3390,121,1,1,1
125,1990,19,53050,3407,3446,200,1,3,3
109,1990,19,14525,1.5407e+05,3803,170,1,2,2
71,1990,16,15350,18172,3023,150,0,2,2
73,1990,16,20860,38495,3452,147,1,2,2
65,1990,16,10495,91152,2798,100,0,1,1
62,1990,16,8895,1037,2271,81,0,1,1
117,1990,19,23040,20006,3463,165,1,2,2
76,1990,18,7409,2.8873e+05,2242,90,0,2,2
97,1990,19,10390,83809,2282,95,0,2,2
64,1990,16,10400,1.1140e+05,2798,100,0,1,1
1,1990,1,6488,90808,2020,78,0,1,2
42,1990,7,33405,1859,3263,162,1,2,2
121,1990,19,28335,6599,3372,165,1,2,2
130,1990,22,48000,4715,4015,262,1,3,4
72,1990,16,16342,39252,3143,141,0,2,2
110,1990,19,14564,1.1684e+05,3189,160,1,2,2
93,1990,19,7577,2.9512e+05,2465,95,0,1,2
100,1990,19,10565,92749,2558,110,0,2,2
77,1990,18,8969,34494,2240,82,0,1,1
119,1990,19,27400,29869,4283,140,1,1,1
127,1990,21,5899,1.0059e+05,2040,81,0,2,2
4,1990,1,12268,78521,2500,103,0,2,2
31,1990,6,18820,32410,2919,114,1,1,2
68,1990,16,12995,1.0844e+05,3006,100,0,1,1
103,1990,19,11995,1.3345e+05,2736,110,0,2,2
70,1990,16,14995,12818,3083,150,0,2,2
83,1990,18,14980,1.0612e+05,3581,140,1,1,2
74,1990,16,25495,13518,3570,150,1,2,2
101,1990,19,10999,77599,3107,140,0,2,2
39,1990,7,18900,4402,2612,108,1,2,2
81,1990,18,11470,1.0306e+05,2730,110,0,2,2
92,1990,19,7254,39081,2136,74,0,1,1
15,1990,2,23500,6603,3333,162,1,2,2
8,1990,1,22860,6419,3463,200,1,3,3
32,1990,6,21095,46070,2954,114,1,1,2
20,1990,3,12150,4.1718e+05,2738,125,0,2,2
55,1990,11,25995,3651,3022,150,1,2,2
128,1990,21,10015,29840,2717,116,0,2,2
37,1990,7,14770,18274,3985,134,1,1,1
6,1990,1,21050,22433,3164,156,1,2,2
30,1990,5,13071,1276,2455,97,0,2,2
115,1990,19,19995,48025,3325,165,1,2,2
102,1990,19,11985,38580,3106,140,0,2,2
17,1990,2,38000,13908,3950,278,1,3,4
123,1990,19,31830,33228,3480,180,1,2,3
16,1990,2,27900,22095,3219,222,1,3,4
36,1990,7,10005,58314,2275,100,0,2,2
11,1990,2,11650,76615,2788,138,0,2,2
51,1990,10,6929,49679,2205,81,0,1,1
118,1990,19,26960,1.6883e+05,3466,180,1,2,3
